Reporting starts,Reporting ends,Ad name,Ad delivery,Attribution setting,Results,Result indicator,Reach,Frequency,Cost per results,Ad set budget,Ad set budget type,Amount spent (USD),Ends,Quality ranking,Engagement rate ranking,Conversion rate ranking,Impressions,"CPM (cost per 1,000 impressions) (USD)",Link clicks,shop_clicks,CPC (cost per link click) (USD),CTR (link click-through rate),Clicks (all),CTR (all),CPC (all) (USD),Landing page views,Cost per landing page view (USD)
2025-08-13,2026-02-16,New Leads Ad with recommended settings,archived,"7-day click, 1-day view, or 1-day engaged-view",23.0,actions:offsite_conversion.fb_pixel_lead,19091,2.154156,94.73695652,Using campaign budget,0,2178.95,Ongoing,-,-,-,41125,52.983587,512.0,,4.255762,1.244985,894,2.17386,2.437304,1.0,2178.95
2025-08-13,2026-02-16,New Leads Ad with recommended settings - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,955,1.419895,,Using campaign budget,0,101.84,Ongoing,-,-,-,1356,75.103245,32.0,,3.1825,2.359882,49,3.613569,2.078367,1.0,101.84
2025-08-13,2026-02-16,New Leads Ad with recommended settings - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",13.0,actions:offsite_conversion.fb_pixel_lead,12940,2.107651,81.81615385,Using campaign budget,0,1063.61,Ongoing,-,-,-,27273,38.998643,319.0,,3.334201,1.169655,603,2.210978,1.763864,,
2025-08-13,2026-02-16,New Leads Ad with recommended settings - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",17.0,actions:offsite_conversion.fb_pixel_lead,9786,1.892602,72.26823529,Using campaign budget,0,1228.56,Ongoing,-,-,-,18521,66.333351,336.0,,3.656429,1.814157,567,3.06139,2.166772,3.0,409.52
2025-08-13,2026-02-16,New Leads Ad with recommended settings - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",17.0,actions:offsite_conversion.fb_pixel_lead,32659,2.167703,140.12588235,Using campaign budget,0,2382.14,Ongoing,-,-,-,70795,33.648422,757.0,,3.146816,1.069285,1372,1.93799,1.736254,8.0,297.7675
2025-08-13,2026-02-16,New Leads Ad with recommended settings - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",1.0,actions:offsite_conversion.fb_pixel_lead,2663,1.839279,351.95,Using campaign budget,0,351.95,Ongoing,-,-,-,4898,71.85586,96.0,,3.666146,1.959984,161,3.287056,2.186025,,
2025-08-13,2026-02-16,New Leads Ad with recommended settings - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",1.0,actions:offsite_conversion.fb_pixel_lead,428,1.488318,57.19,Using campaign budget,0,57.19,Ongoing,-,-,-,637,89.78022,10.0,,5.719,1.569859,21,3.296703,2.723333,,
2025-08-13,2026-02-16,New Leads Ad with recommended settings - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",10.0,actions:offsite_conversion.fb_pixel_lead,9677,2.202542,133.036,Using campaign budget,0,1330.36,Ongoing,-,-,-,21314,62.417191,345.0,,3.856116,1.618654,719,3.37337,1.850292,,
2025-08-13,2026-02-16,New Leads Ad with recommended settings - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",2.0,actions:offsite_conversion.fb_pixel_lead,840,1.382143,39.185,Using campaign budget,0,78.37,Ongoing,-,-,-,1161,67.502153,14.0,,5.597857,1.205857,27,2.325581,2.902593,1.0,78.37
2025-08-13,2026-02-16,New Leads Ad with recommended settings - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",14.0,actions:offsite_conversion.fb_pixel_lead,14510,1.890627,87.72285714,Using campaign budget,0,1228.12,Ongoing,-,-,-,27433,44.76798,271.0,,4.531808,0.987861,724,2.639157,1.696298,2.0,614.06
2025-08-13,2026-02-16,New Leads Ad with recommended settings - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",1.0,actions:offsite_conversion.fb_pixel_lead,741,1.147099,53.62,Using campaign budget,0,53.62,Ongoing,-,-,-,850,63.082353,17.0,,3.154118,2.0,43,5.058824,1.246977,,
2025-08-13,2026-02-16,New Leads Ad with recommended settings,archived,"7-day click, 1-day view, or 1-day engaged-view",,,1887,1.138315,,Using campaign budget,0,148.72,Ongoing,-,-,-,2148,69.236499,35.0,,4.249143,1.629423,84,3.910615,1.770476,,
2025-08-13,2026-02-16,New Leads Ad,archived,"7-day click, 1-day view, or 1-day engaged-view",,,3334,1.019496,,80,Daily,48.39,Ongoing,-,-,-,3399,14.23654,25.0,,1.9356,0.73551,24,0.70609,2.01625,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,7,1.142857,,80,Daily,0.18,Ongoing,-,-,-,8,22.5,,,,,0,0.0,0.0,,
