Unique ID,Join Date,Last Source Date,First source,Last source
508828-002,2026-02-16 11:36:00,2026-02-16 11:36:00,@linkedin_organic,@linkedin_organic
219402-003,2026-02-16 10:52:00,-,-,-
670244-004,2026-02-16 10:16:00,-,-,-
511768-005,2026-02-16 09:13:00,2026-02-16 09:09:00,@all-combined-targetscreatives,@all-combined-targetscreatives
464174-006,2026-02-16 09:12:00,2026-02-16 08:37:00,@yt_2_11_2026,@yt_2_11_2026
214573-007,2026-02-16 06:29:00,2026-02-16 09:08:00,@all-combined-targetscreatives,@all-combined-targetscreatives
578373-008,2026-02-16 00:19:00,2026-02-16 00:09:00,@broad,@broad
332805-009,2026-02-15 23:46:00,-,-,-
971739-010,2026-02-15 11:27:00,2026-02-15 11:34:00,@yt_10_20_2025,@yt_10_20_2025
703846-011,2026-02-15 09:27:00,2026-02-15 09:18:00,@yt_10_2_2025,@yt_10_2_2025
570538-012,2026-02-14 12:58:00,-,-,-
679924-013,2026-02-14 00:29:00,2026-02-14 00:43:00,@all-combined-targetscreatives,@all-combined-targetscreatives
507186-014,2026-02-13 22:34:00,-,-,-
404672-015,2026-02-13 20:09:00,2026-02-15 19:40:00,@linkedinbio,@linkedinbio
582284-016,2026-02-13 18:54:00,2026-02-13 18:47:00,@yt_10_20_2025,@yt_10_20_2025
994619-017,2026-02-13 17:37:00,2026-02-13 20:28:00,@lead-list,@google_organic
521515-018,2026-02-13 17:00:00,-,-,-
341091-019,2026-02-13 14:47:00,-,-,-
709757-020,2026-02-13 14:30:00,-,-,-
814729-021,2026-02-13 09:12:00,-,-,-
104092-022,2026-02-12 21:13:00,2026-02-12 20:52:00,@yt_bio,@yt_bio
854887-023,2026-02-12 20:58:00,2026-02-12 20:10:00,@all-combined-targetscreatives,@all-combined-targetscreatives
680327-024,2026-02-12 18:41:00,-,-,-
402937-025,2026-02-12 13:11:00,2026-02-13 14:26:00,@all-combined-targetscreatives,@linkedinbio
732931-026,2026-02-12 11:06:00,-,-,-
541723-027,2026-02-12 10:37:00,2026-02-12 10:33:00,@lead-list,@lead-list
208837-028,2026-02-12 08:37:00,2026-02-12 08:33:00,@broad,@broad
483903-029,2026-02-12 08:05:00,2026-02-12 05:31:00,@lead-list,@lead-list
872432-030,2026-02-12 04:57:00,2026-02-12 04:43:00,@yt_1_2_2026,@yt_11_3_2025
705259-031,2026-02-11 23:21:00,2026-02-11 23:34:00,@lead-list,@yt_bio
395539-032,2026-02-11 22:21:00,2026-02-11 22:16:00,@all-combined-targetscreatives,@all-combined-targetscreatives
146500-033,2026-02-11 21:13:00,2026-02-11 21:06:00,@all-combined-targetscreatives,@all-combined-targetscreatives
430565-034,2026-02-11 19:44:00,-,-,-
671262-035,2026-02-11 16:00:00,2026-02-12 10:01:00,@linkedinbio,@google_organic
287540-036,2026-02-11 13:53:00,2026-02-11 13:53:00,@linkedin_organic,@linkedin_organic
600358-037,2026-02-11 12:18:00,2026-02-15 14:12:00,@yt_10_20_2025,@yt_10_20_2025
975754-038,2026-02-11 12:14:00,2026-02-11 11:52:00,@yt_12_12_2025,@yt_12_12_2025
256944-039,2026-02-11 09:58:00,2026-02-16 09:46:00,@google_organic,@google_organic
163224-040,2026-02-11 09:01:00,2026-02-11 08:55:00,@yt_2_11_2026,@yt_2_11_2026
