Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%),yt_handle
RrhBE3hgf9U,How to add code snippets to your content,,169.0,160,6.368,0,,0,,
v68CIUkJnD8,Launch Your Data Career in 2025,,29.0,153,1.1122,0,,0,,
I3YKCpYIZZk,Recruiter Secrets Get Hired ASAP with Emily: Interviews,,6909.0,24,5.8522,0,,0,,
WHXFDX3lao0,Build Your Online Credibility Monthly Challenge for DIM,,181.0,15,0.2979,0,,1,0.0,
bW2dskpAE5o,Test,,3428.0,11,0.6741,0,,0,,
eF7z-C6y52I,Ronnie After Program Interview,,1742.0,11,0.6203,0,,0,,
FfVvcaEU72c,Robby After Program Testimonial,,1548.0,4,0.6006,0,,0,,
vmolYho9CXA,Melissa After Program Interview,,1987.0,3,0.0044,0,,0,,
ervCQgmvir4,Emmanuel After Program Interview,,3555.0,2,0.0628,0,,0,,
Total,,,,1098824,69166.4692,36997,6822.298,18616657,3.68,
X2P6no-gHCY,How to Build the Perfect Data Analyst Portfolio Without Any Code,,3469.0,8,0.3931,0,0.011,2,0.0,
OQpK2exaOvk,Customize GPT To Write Custom Content,,614.0,264,31.0241,0,0.002,2,0.0,
#NAME?,DIM Challenge,,315.0,207,14.956,0,0.001,0,,
iyt4M5Q11fk,How to Create GIFS,,351.0,202,15.6419,0,0.001,0,,
ajHfXv0ULP0,Readability Tips for Engaging Content,,111.0,199,5.1765,0,0.001,0,,
08J88EiuTmI,Everything You Need to Become a Data Analyst in 20 Minutes Master V3,,940.0,1,0.0004,0,0.0,0,,
Q5QIe31ftxs,How I’d Learn Data Analytics in 2026 (The Rules I’d Follow),2-Jan-26,1188.0,14619,1767.8465,436,145.578,235334,3.26,@yt_1_2_2026
xs_GgPfLXe4,AI Just Killed These 5 Data Analyst Skills (Do THIS Instead),12-Jan-26,880.0,12699,1162.0153,257,104.194,245517,3.43,@yt_1_12_2026
n1VwXmPmqYU,Make Real Impact as a Data Professional with Vin Vashishta,16-Jan-23,135.0,1,0.03,0,,31,3.23,@yt_1_16_2023
UyDPf624foM,The Highest Paying Data Analyst Skill No One Learns,19-Jan-26,1076.0,5895,528.3917,73,49.927,81620,4.77,@yt_1_19_2026
wMMfP_fKA8g,Should you be a generalist or a specialist in your career? Vin Vashishta,20-Jan-23,183.0,1,0.0404,0,,30,3.33,@yt_1_20_2023
vruP9FXcq2Q,Snapchat Intermediate SQL Interview Question for Data Analysts and Data Scientists,20-Jan-23,970.0,38,1.4019,0,0.024,1282,1.56,@yt_1_20_2023
5snxSZDl3qk,The Harsh Reality of Being a Data Analyst,26-Jan-26,742.0,4869,368.2399,65,38.429,74043,4.31,@yt_1_26_2026
