Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
RrhBE3hgf9U,How to add code snippets to your content,,169,160,6.368,0,,0,
v68CIUkJnD8,Launch Your Data Career in 2025,,29,153,1.1122,0,,0,
I3YKCpYIZZk,Recruiter Secrets Get Hired ASAP with Emily: Interviews,,6909,24,5.8522,0,,0,
WHXFDX3lao0,Build Your Online Credibility Monthly Challenge for DIM,,181,15,0.2979,0,,1,0
bW2dskpAE5o,Test,,3428,11,0.6741,0,,0,
eF7z-C6y52I,Ronnie After Program Interview,,1742,11,0.6203,0,,0,
FfVvcaEU72c,Robby After Program Testimonial,,1548,4,0.6006,0,,0,
vmolYho9CXA,Melissa After Program Interview,,1987,3,0.0044,0,,0,
ervCQgmvir4,Emmanuel After Program Interview,,3555,2,0.0628,0,,0,
Total,,,,1098824,69166.4692,36997,6822.298,18616657,3.68
X2P6no-gHCY,How to Build the Perfect Data Analyst Portfolio Without Any Code,,3469,8,0.3931,0,0.011,2,0
OQpK2exaOvk,Customize GPT To Write Custom Content,,614,264,31.0241,0,0.002,2,0
#NAME?,DIM Challenge,,315,207,14.956,0,0.001,0,
iyt4M5Q11fk,How to Create GIFS,,351,202,15.6419,0,0.001,0,
ajHfXv0ULP0,Readability Tips for Engaging Content,,111,199,5.1765,0,0.001,0,
08J88EiuTmI,Everything You Need to Become a Data Analyst in 20 Minutes Master V3,,940,1,0.0004,0,0,0,
Q5QIe31ftxs,How I’d Learn Data Analytics in 2026 (The Rules I’d Follow),2-Jan-26,1188,14619,1767.8465,436,145.578,235334,3.26
xs_GgPfLXe4,AI Just Killed These 5 Data Analyst Skills (Do THIS Instead),12-Jan-26,880,12699,1162.0153,257,104.194,245517,3.43
n1VwXmPmqYU,Make Real Impact as a Data Professional with Vin Vashishta,16-Jan-23,135,1,0.03,0,,31,3.23
UyDPf624foM,The Highest Paying Data Analyst Skill No One Learns,19-Jan-26,1076,5895,528.3917,73,49.927,81620,4.77
wMMfP_fKA8g,Should you be a generalist or a specialist in your career? Vin Vashishta,20-Jan-23,183,1,0.0404,0,,30,3.33
vruP9FXcq2Q,Snapchat Intermediate SQL Interview Question for Data Analysts and Data Scientists,20-Jan-23,970,38,1.4019,0,0.024,1282,1.56
5snxSZDl3qk,The Harsh Reality of Being a Data Analyst,26-Jan-26,742,4869,368.2399,65,38.429,74043,4.31
6tdedAcpXC0,"Watch This To Become Valuable In Your Data Career | Vin Vashishta, Data Strategist",30-Jan-23,3112,21,2.9439,1,0.003,142,6.34
gk6A0VUfPpU,Why 99% Self-Taught Data Analysts Never Get Hired,2-Feb-26,437,3573,184.1618,44,14.32,47274,5.03
9CwRk9UrY3M,How to Land Your First Tech Job in 2026,6-Feb-26,3532,574,51.9818,7,,10312,2.37
i0W_dmYNrak,I Ranked Every Data Analyst Skill So You Don't Waste 6 Months,11-Feb-26,1518,3128,343.0687,39,14.579,45546,4.9
wq2rVu73p0E,Meet Kedeisha - Your Data Career Coach,13-Mar-25,105,1344,24.0727,23,5.362,26820,3.89
UHZwgrFki1E,How to Build the Perfect Data Analyst Portfolio Without Any Code,16-Mar-25,3468,1473,219.8129,35,4.354,8778,5.59
qfwTMeXk3SE,3 Steps to Become a Data Analyst in 2025 | Free Training,17-Mar-25,3112,117,7.1328,3,,1950,2.82
cZNY5hcASzU,Tech Recruiter Secrets: How to Get Hired in Data Analytics in 2025,25-Mar-25,3782,971,214.7671,8,2.168,7632,2.9
5OzY1aFhBL0,"How to Communicate Your Data Insights...THE RIGHT WAY!  | Vin Vashishta, Data Strategist",27-Mar-23,90,2,0.0254,0,,30,6.67
5WNTZCN21qY,Job Seekers Pay Attention: Title is not Everything,28-Mar-23,44,4,0.0295,0,,35,8.57
Tzm45mQVmXI,"Build a Strong Data Career with this Advice | Robert Holmes III, Senior Data Analyst",31-Mar-23,3059,4,0.86,0,,33,0
qWZJBs0Qq9w,Live Resume Roast with a Senior Tech Recruiter,1-Apr-25,5269,828,259.0773,7,1.935,4749,3.39
4x4YI3chd6A,The FASTEST Data Analyst Roadmap for Career Changers in 2026 [FREE COURSE],9-Apr-25,3427,17879,3532.1053,410,108.939,172397,4.11
mK5IMlZXo08,Learn SQL FAST | SQL for Data Analysts Roadmap,21-Apr-25,296,2055,82.5931,39,4.604,21245,6.26
OjLg6nFZ0pw,TOP 5 IT Skills To Get a $150k Job Fast In 2026,28-Apr-25,976,1642,155.8074,32,4.212,29189,3.25
8ZyvYEClUAs,SQL Interview Whiteboard Question 1: Where are the Managers? Would you pass or fail?,3-May-25,53,3070,25.1717,13,0.021,37659,3.91
4lLjpGuLPTc,Copy These 3 Data Analyst Projects (It Will Get You Hired),5-May-25,454,11328,503.9001,598,6.962,256710,2.84
xZatHqSkd90,Wine Magazine Hard SQL Interview Question for Data Analysts and Data Scientists,10-May-23,443,29,0.8656,0,0.022,1249,1.44
Xz39nkLAkgo,Live Data Analyst Project: Analyzing U.S. Imports,11-May-25,3865,1830,201.421,46,2.566,22636,4.04
eOr9vWPEjyE,Why the Google Data Analytics Certificate Won't Get You Hired (And What Will),15-May-25,696,75219,4860.9514,3391,673.818,1387197,3.73
S5M1iajbiow,State of the Data Analyst Job Market 2025: Top Job Seeker Mistakes,16-May-25,4836,433,87.4288,15,3.057,7603,2.5
HVWEVWmjVrQ,You Don’t Need Experience to Become a Data Analyst (I’ll Prove It),23-May-25,470,2243,141.7742,61,5.801,37434,3.61
zEoEqnUt-20,Why Data Analyst Certificates Keep You UNEMPLOYED!,27-May-25,601,13540,841.2964,552,21.418,198900,4.4
kgfHyPGdd30,Live LinkedIn & Portfolio Audits for Data Analysts,31-May-25,3975,926,98.865,23,0.611,9581,4.7
E_E0T97KZrY,The 1 Thing You Need To Unlearn As a Data Analyst,4-Jun-25,478,1753,96.1768,50,1.874,32973,3.25
#NAME?,Why You Should NOT Become an Entry Level Data Analyst (What To Do Instead),6-Jun-25,440,19040,970.2556,554,63.525,268162,4.99
bTs_IpbX6Xc,Live LinkedIn & Portfolio Audits for Data Analysts,7-Jun-25,3514,624,59.77,12,0.318,10169,3.22
bQe-HkyGbWQ,How to Land 10x More Data Analyst Interviews with AI,13-Jun-25,4337,495,68.9112,9,1.002,11812,2.06
053cC-qsHpM,Live LinkedIn & Portfolio Audits for Data Analysts,14-Jun-25,3827,723,59.1576,21,0.57,12333,3.49
5KeJSpMIf-s,Live LinkedIn & Portfolio Audits for Data Analysts,21-Jun-25,3171,588,71.5864,18,15.274,10289,3.15
jH30L4Zi_qc,Data Analyst Roadmaps Don't Work (Here's Proof),23-Jun-25,485,3277,192.7031,68,7.508,54219,3.72
