inventory_id,store_id,product_id,quantity_on_hand,ADJUSTED_quantity_on_hand,reorder_point,reorder_quantity,last_restock_date,warehouse_location
INV0001,S001,P001,0,0,34,85,2024-12-14,C3
INV0002,S001,P002,247,247,44,198,2024-01-04,aisle-3
INV0003,S001,P003,245,245,40,116,2023-10-15,
INV0004,S001,P004,202,202,23,52,2024-06-03,AISLE 3
INV0005,S001,P005,110,110,12,152,2024-07-11,A1
INV0006,S001,P006,139,139,24,,2024-02-26,D4
INV0007,S001,P007,133,133,27,193,2024-11-15,A2
INV0008,S001,P008,204,204,16,116,2023-06-30,
INV0009,S001,P009,119,119,15,54,2024-01-17,
INV0010,S001,P010,243,243,15,136,2024-06-05,aisle-3
INV0011,S001,P011,181,181,26,113,2023-12-20,B2
INV0012,S001,P012,218,218,35,177,2024-07-14,
INV0013,S001,P013,126,126,33,142,2024-08-09,B2
INV0014,S001,P014,198,198,41,68,2024-01-12,aisle-3
INV0015,S001,P015,-2,0,29,175,2023-12-14,D4
INV0016,S001,P016,3,3,41,79,2023-06-29,A1
INV0017,S001,P017,20,20,16,184,2024-04-11,A2
INV0018,S001,P018,50,50,26,90,2024-02-23,AISLE 3
INV0019,S001,P019,22,22,,150,2024-06-28,A2
INV0020,S001,P020,180,180,29,196,2024-05-16,
INV0021,S002,P001,169,169,34,196,2024-01-23,
INV0022,S002,P002,250,250,,80,,C3
INV0023,S002,P003,117,117,29,94,,aisle-3
INV0024,S002,P004,145,145,20,142,2024-09-23,B2
INV0025,S002,P005,192,192,33,163,2023-11-08,
INV0026,S002,P006,30,30,,74,2024-09-20,
INV0027,S002,P007,206,206,36,,2024-08-08,aisle-3
INV0028,S002,P008,130,130,44,190,2023-08-04,A1
INV0029,S002,P009,134,134,48,138,2024-10-03,AISLE 3
INV0030,S002,P010,54,54,22,155,2024-10-21,A1
INV0031,S002,P011,51,51,35,158,2024-05-25,AISLE 3
INV0032,S002,P012,223,223,31,149,2024-02-21,AISLE 3
INV0033,S002,P013,248,248,15,111,2024-08-27,A2
INV0034,S002,P014,165,165,,114,,B1
INV0035,S002,P015,126,126,10,119,2024-11-18,AISLE 3
INV0036,S002,P016,224,224,49,56,2024-05-23,A2
INV0037,S002,P017,241,241,,184,,D4
INV0038,S002,P018,50,50,33,198,2023-10-02,D4
INV0039,S002,P019,97,97,43,,2023-06-30,
INV0040,S002,P020,53,53,,120,2023-06-02,
INV0041,S003,P001,207,207,26,130,2023-10-23,
INV0042,S003,P002,58,58,38,160,2024-03-25,
INV0043,S003,P003,165,165,35,59,2023-10-18,
INV0044,S003,P004,200,200,40,135,2023-07-25,AISLE 3
INV0045,S003,P005,208,208,,55,2024-10-13,
INV0046,S003,P006,-2,0,,133,2024-04-02,aisle-3
INV0047,S003,P007,225,225,46,101,2024-01-28,A1
INV0048,S003,P008,67,67,30,145,2024-09-27,aisle-3
INV0049,S003,P009,218,218,32,96,2023-12-08,
INV0050,S003,P010,-4,0,40,170,,B2
INV0051,S003,P011,234,234,17,96,2024-07-13,B2
INV0052,S003,P012,145,145,,168,2024-11-15,A2
INV0053,S003,P013,26,26,23,113,2024-10-25,
INV0054,S003,P014,-2,0,10,66,2024-07-19,B1
INV0055,S003,P015,7,7,27,,,
INV0056,S003,P016,194,194,29,118,2023-12-18,A1
INV0057,S003,P017,132,132,32,160,2024-05-02,A2
INV0058,S003,P018,1,1,26,172,2023-07-30,AISLE 3
INV0059,S003,P019,-9,0,45,179,2024-07-04,A2
INV0060,S003,P020,242,242,,182,2024-10-27,A2
INV0061,S004,P001,68,68,45,196,2024-01-07,A1
INV0062,S004,P002,47,47,12,145,2024-05-16,C3
INV0063,S004,P003,159,159,17,90,2023-07-09,C3
INV0064,S004,P004,153,153,35,106,,AISLE 3
INV0065,S004,P005,42,42,32,152,2023-06-04,D4
INV0066,S004,P006,-1,0,17,120,2023-08-01,C3
INV0067,S004,P007,53,53,11,141,2024-12-23,B1
INV0068,S004,P008,-6,0,15,186,2023-07-10,
INV0069,S004,P009,32,32,13,81,2023-07-04,AISLE 3
INV0070,S004,P010,247,247,,126,2024-09-02,D4
INV0071,S004,P011,91,91,41,102,2024-11-20,C3
INV0072,S004,P012,183,183,30,76,2023-08-26,aisle-3
INV0073,S004,P013,37,37,22,85,2024-03-08,C3
INV0074,S004,P014,222,222,42,142,2024-09-21,
INV0075,S004,P015,200,200,15,136,2024-02-05,A1
INV0076,S004,P016,31,31,49,127,2024-10-26,
INV0077,S004,P017,172,172,10,125,2024-03-15,AISLE 3
INV0078,S004,P018,226,226,30,180,2024-02-17,A2
INV0079,S004,P019,74,74,,56,2024-07-27,AISLE 3
INV0080,S004,P020,88,88,48,103,2024-05-06,aisle-3
INV0081,S005,P001,219,219,,84,2024-08-31,
INV0082,S005,P002,76,76,38,176,2023-12-02,B1
INV0083,S005,P003,181,181,,164,2024-03-22,AISLE 3
INV0084,S005,P004,63,63,40,54,2024-03-18,B1
INV0085,S005,P005,153,153,45,195,2024-07-31,
INV0086,S005,P006,236,236,16,83,2024-12-29,B1
INV0087,S005,P007,168,168,17,143,2024-05-17,A1
INV0088,S005,P008,198,198,38,55,2023-10-05,C3
INV0089,S005,P009,39,39,40,100,2024-03-16,B1
INV0090,S005,P010,177,177,27,62,,A2
INV0091,S005,P011,86,86,28,136,2024-06-07,
INV0092,S005,P012,245,245,45,104,2024-10-08,
INV0093,S005,P013,13,13,49,51,2023-09-02,A1
INV0094,S005,P014,194,194,28,171,2024-05-03,
INV0095,S005,P015,196,196,50,166,2024-01-15,
INV0096,S005,P016,227,227,,112,2024-08-04,A1
INV0097,S005,P017,244,244,43,189,2023-06-26,B2
INV0098,S005,P018,-5,0,45,70,2024-06-13,D4
INV0099,S005,P019,41,41,13,,2024-01-30,D4
INV0100,S005,P020,110,110,47,,2024-01-28,aisle-3
INV0101,S006,P001,114,114,14,104,2024-03-17,
INV0102,S006,P002,192,192,38,113,2024-03-06,C3
INV0103,S006,P003,139,139,42,97,2024-07-19,
INV0104,S006,P004,71,71,36,57,2024-12-24,D4
INV0105,S006,P005,195,195,41,161,2024-08-26,AISLE 3
INV0106,S006,P006,83,83,45,127,2023-11-20,A2
INV0107,S006,P007,114,114,29,115,2024-01-09,AISLE 3
INV0108,S006,P008,85,85,30,161,2023-10-26,D4
INV0109,S006,P009,2,2,50,199,2024-12-20,AISLE 3
INV0110,S006,P010,68,68,47,157,2024-11-13,B2
INV0111,S006,P011,31,31,44,85,2023-10-28,D4
INV0112,S006,P012,166,166,18,193,2023-12-08,A1
INV0113,S006,P013,53,53,45,63,2023-08-05,D4
INV0114,S006,P014,125,125,43,176,2023-07-23,A2
INV0115,S006,P015,83,83,30,165,2024-06-15,
INV0116,S006,P016,143,143,13,136,,C3
INV0117,S006,P017,163,163,37,115,2024-02-26,D4
INV0118,S006,P018,234,234,39,,2024-02-17,
INV0119,S006,P019,225,225,26,65,2023-08-29,aisle-3
INV0120,S006,P020,64,64,16,85,,B1
INV0121,S005,P011,80,80,46,73,2024-11-22,B2
INV0122,S001,P018,84,84,11,137,2024-07-23,B2
INV0123,S005,P008,12,12,25,107,2024-04-20,C3
INV0124,S003,P019,6,6,44,72,2024-02-25,A1
INV0125,S002,P019,23,23,21,194,2024-10-25,B2
INV0126,S005,P001,54,54,36,102,2023-12-08,B2
INV0127,S001,P018,75,75,13,121,2023-10-10,A1
INV0128,S003,P018,70,70,16,50,2024-07-16,A1
INV0129,S004,P007,95,95,42,69,2024-10-15,A1
INV0130,S003,P006,46,46,19,82,2023-08-23,C3
INV0131,S004,P014,44,44,39,125,2024-07-21,B2
