transaction_id,transaction_date,customer_id,store_id,product_id,quantity,unit_price,discount_pct,total_amount,payment_method,return_flag
TXN01256,6/1/2025,C0190,S003,P005,5,27.71,0,138.55,Gift Card,no
TXN00331,5/30/2025,C0131,S002,P001,4,16.15,0,64.6,Gift Card,No
TXN01632,5/26/2025,C0170,S006,P012,8,47.56,0,380.48,Gift Card,N
TXN01350,5/23/2025,C0061,S001,P011,3,190.93,10,515.51,Credit Card,TRUE
TXN01949,5/23/2025,C0083,S003,P014,6,67.53,25,303.89,Cash,No
TXN00969,5/18/2025,C9485,S004,P016,9,47.08,0,423.72,Cash,TRUE
TXN01120,5/18/2025,C0168,S002,P020,3,145.46,25,327.29,UNK,No
TXN01156,5/17/2025,C0147,S003,P011,6,45.17,20,216.82,UNK,No
TXN01630,5/15/2025,C0041,S002,P004,7,165.31,20,925.74,Cash,No
TXN01815,5/12/2025,C0118,S006,P017,10,267.56,5,2541.82,Debit Card,No
TXN00602,5/11/2025,C0042,S004,P004,8,109.31,0,874.48,Gift Card,Y
TXN01899,5/7/2025,C0133,S004,P016,8,110.56,0,884.48,PayPal,N
TXN00656,5/7/2025,C0085,S004,P013,7,120.57,25,632.99,Debit Card,yes
TXN00624,5/1/2025,C9892,S004,P013,10,219.53,0,2195.3,Gift Card,No
TXN01927,5/1/2025,C0031,S003,P011,2,55.48,0,110.96,Cash,
TXN01177,4/29/2025,C0119,S001,P006,3,37.12,5,105.79,Credit Card,FALSE
TXN00989,4/25/2025,C0026,S005,P020,8,22.17,0,177.36,Gift Card,
TXN01627,4/23/2025,C0172,S001,P014,6,188.03,10,1015.36,PayPal,
TXN01699,4/22/2025,C0152,S002,P014,2,73.36,0,146.72,PayPal,Yes
TXN00348,4/13/2025,C0036,S57,P009,4,116.84,25,350.52,Credit Card,no
TXN01668,4/10/2025,C0020,S005,P002,2,137.12,0,274.24,Credit Card,Yes
TXN00104,4/9/2025,C0098,S006,P011,8,261.36,0,2090.88,PayPal,FALSE
TXN01714,4/6/2025,C0127,S002,P007,7,165.12,0,1155.84,Credit Card,no
TXN00349,4/3/2025,C0189,S004,P016,7,224.37,0,1570.59,PayPal,No
TXN00072,4/2/2025,C0084,S004,P018,5,169.08,0,845.4,Cash,TRUE
TXN00905,3/29/2025,C0134,S006,P006,2,92.33,10,166.19,Debit Card,
TXN01619,3/25/2025,C0073,S006,P006,4,237.1,25,711.3,Debit Card,FALSE
TXN00615,3/24/2025,C0067,S005,P011,9,142.75,5,1220.51,Cash,N
TXN00758,3/20/2025,C0154,S004,P004,2,128.48,25,192.72,Debit Card,
TXN01223,3/19/2025,C0190,S001,P011,4,23.59,0,94.36,PayPal,no
TXN00312,3/18/2025,C0089,S004,P019,1,146.88,0,146.88,Gift Card,TRUE
TXN01099,3/16/2025,C0029,S004,P009,10,264.93,20,2119.44,Gift Card,Yes
TXN01504,3/14/2025,C0063,S001,P019,2,33.96,15,57.73,Debit Card,N
TXN00759,3/11/2025,C0173,S005,P001,8,157.19,20,1006.02,Cash,N
TXN00110,3/10/2025,C0157,S002,P001,6,33.05,25,148.73,PayPal,no
TXN00370,3/5/2025,C0032,S006,P003,6,195.65,15,997.82,Cash,Y
