,store,tot_rev,tot_costs,margin,cost_per_order,game_day
0,Downtown,670634.52,434656.06999999995,1340.79,10.74,N
1,Downtown,74954.85,37357.54,7519.46,8.28,Y
2,Decatur,433997.38,328877.85,597.27,12.46,N
3,Decatur,32834.08,20895.93,2387.63,10.61,Y
4,Smyrna,445357.82,274650.1,969.93,10.15,N
5,Smyrna,27970.71,13207.97,2952.55,7.91,Y
6,Duluth,511625.72000000003,345659.99,942.99,11.12,N
7,Duluth,43438.19,23194.65,4048.71,8.74,Y
8,Camp Creek,349509.34,215312.64,762.48,10.19,N
9,Camp Creek,19705.69,11127.01,1715.74,9.18,Y
